1,unmittelbare Anstellung,Q506999,,Q-1770 Person,1778,1779,neu / weg / unverändert / andere Quali,Qualifikation 1,Qualifikation 2,Qualifikation 3,Qualifikation 4,Qualifikation 3,Qualifikation 4,Qualifikation 5,Ort,,Titel,Adlesrang,Vorname1,Vorname2,Vorname3,Vorname4,Vorname5,Nachname
1176,Hof-Küche,Q506924,,,Ernst Wilhelm Specht,Ernst Wilhelm Specht,unverändert,Reise Küchenschreiber,,,,,,,,,,,,,,,,
1177,Hof-Küche,Q506924,,Q507550,Johann Balthasar Habermann,Johann Balthasar Habermann,unverändert,Mundkoch,,,,,,,,,,,,,,,,
1178,Hof-Küche,Q506924,,Q14453,Johann Heinrich Schmidt,Johann Heinrich Schmidt,unverändert,Mundkoch,,,,,,,,,,,,,,,,
1179,Hof-Küche,Q506924,,Q507529,Johann August Ritter,Johann August Ritter,unverändert,Mundkoch,,,,,,,,,,,,,,,,
1180,Hof-Küche,Q506924,,Q507737,Johann Jacob Möller,Johann Jacob Möller,unverändert,Mundkoch,Bratenkoch,,,,,,,,,,,,,,,
1181,Hof-Küche,Q506924,,,,Heinrich Nicolaus Depenau,unverändert,Mundkoch,,,,,,,,,,,Heinrich,Nicolaus,,,,Depenau
1182,Hof-Küche,Q506924,,Q507464,Josias Friedrich Michaelis,Josias Friedrich Michaelis,unverändert,Holzverwalter,,,,,,,,,,,,,,,,
1183,Hof-Küche,Q506924,,Q507936,Johann Melichor Albrecht,Johann Melichor Albrecht,unverändert,Fischer bei der Hofstade,,,,,,,,,,,,,,,,
1184,Hof-Küche,Q506924,,,Philipp Carl Albrecht,Philipp Carl Albrecht,unverändert,Substitut,,,,,,,,,,,,,,,,
1185,Hof-Küche,Q506924,,,Johann Georg Heintz,Johann Georg Heintz,unverändert,Hof Metzger,,,,,,,,,,,,,,,,
1186,Hof-Küche,Q506924,,Q513419,Johann Köhler,Johann Köhler,unverändert,Hoffischer zu Altenburg,,,,,,,,,,,,,,,,
1187,Hof-Küche,Q506924,,,Johann Friedrich Habermann,Johann Friedrich Habermann,unverändert,Küchen-Junge,,,,,,,,,,,,,,,,
1188,Hof-Küche,Q506924,,,Johann Paul Kühn,Johann Paul Kühn,unverändert,Küchen-Junge,,,,,,,,,,,,,,,,
1189,Hof-Küche,Q506924,,,Georg Christian Heinrich Müller,Georg Christian Heinrich Müller,unverändert,Küchen-Junge,,,,,,,,,,,,,,,,
1190,Hof-Küche,Q506924,,,Johann Georg Hornäffer,Friedrich Gotthelf Hentschel,unverändert,Küchen-Junge,,,,,,,,,,,Friedrich,Gotthelf,,,,Hentschel
1191,Hof-Küche,Q506924,,,,Johann Michael Pauker,unverändert,Küchen-Junge,,,,,,,,,,,Johann,Michael,,,,Pauker
1192,Hof-Küche,Q506924,,,,Johann Friedrich Rohr,unverändert,Küchen-Junge,,,,,,,,,,,Johann,Friedrich,,,,Rohr
1193,Hof-Küche,Q506924,,,,Conrad Thomas,unverändert,Küchenknecht,,,,,,,,,,,Conrad,,,,,Thomas
1194,Hof-Küche,Q506924,,Q507421,Johann Sebastian John,Johann Sebastian John,unverändert,Hühnerstopfer,,,,,,,,,,,,,,,,
1195,Hof-Küche,Q506924,,,Michael Herting,Michael Herting,unverändert,Bratenwender,,,,,,,,,,,,,,,,
1196,Hof-Küche,Q506924,,,Anna Dorothea Flatung,Anna Dorothea Flatung,unverändert,Küchenfrau,,,,,,,,,,,,,,,,
1197,Hof- Conditorei,Q506914,,Q507169,Louis Adam Henri la Rochert,Louis Adam Henri la Rochert,unverändert,Hofconditor,,,,,,,,,,,,,,,,
1198,Hof- Conditorei,Q506914,,Q507807,Johann Anton Meyer,Johann Anton Meyer,unverändert,Hofconditor zu Altenburg,,,,,,,,,,,,,,,,
1199,Hof- Conditorei,Q506914,,,Johann Christoph Wunderlich,Johann Christoph Wunderlich,unverändert,Conditors-Pursche,,,,,,,,,,,,,,,,
1200,Hof- Conditorei,Q506914,,,Johann Christian Ragel,Johann Christian Ragel,unverändert,Conditors-Pursche,,,,,,,,,,,,,,,,
1201,Hof- Conditorei,Q506914,,,,Johann Carl Wilhelm Wünscher,unverändert,Conditors-Pursche,,,,,,,,,,,Johann,Carl,Wilhelm,,,Wünscher
1202,Hof- Conditorei,Q506914,,Q513240,Barbara Wahl,Barbara Wahl,unverändert,Conditoren-Magd,,,,,,,,,,,,,,,,
1203,Hof- Kellerei,Q506915,,Q389109,Johann Friedrich Hermann,Johann Friedrich Hermann,unverändert,Reisekellerschreiber,,,,,,,,,,,,,,,,
1204,Hof- Kellerei,Q506915,,Q507484,Johann Christoph Heiner,Johann Christoph Heiner,unverändert,Reise-Mundschenk,,,,,,,,,,,,,,,,
1205,Hof- Kellerei,Q506915,,Q507897,Johann Adam Stichling,Johann Adam Stichling,unverändert,Hofkellner,,,,,,,,,,,,,,,,
1206,Hof- Kellerei,Q506915,,Q192655,Johann Friedrich Ortlepp,Johann Friedrich Ortlepp,unverändert,Hof-Braumeister,Mälzer,,,,,,,,,,,,,,,
1207,Hof- Kellerei,Q506915,,Q507610,Johann Samuel Penzing,Johann Samuel Penzing,unverändert,Hof - Böttger zu Altenburg,,,,,,,,,,,,,,,,
1208,Hof- Kellerei,Q506915,,Q507673,Melichor Christoph Wittstein,Melichor Christoph Wittstein,unverändert,Hof-Müller,,,,,,,,,,,,,,,,
1209,Hof- Kellerei,Q506915,,Q507555,Johann Caspar Körber,Johann Caspar Körber,unverändert,Kellerknecht,,,,,,,,,,,,,,,,
1210,Hof- Kellerei,Q506915,,Q98308,Johann Matthäus Schack,Johann Matthäus Schack,unverändert,Kellerknecht,,,,,,,,,,,,,,,,
1211,Hof- Kellerei,Q506915,,,Johann Gottfried Wille,Johann Gottfried Wille,unverändert,Kellerknecht zu Altenburg,,,,,,,,,,,,,,,,
1212,Hof- Kellerei,Q506915,,,Johann Heinrich Steinmeyer,Johann Heinrich Steinmeyer,unverändert,Einheizer,,,,,,,,,,,,,,,,
1213,Silber-Kammer,Q506932,,Q78666,Wolfgang Egydius Gorthardt,Wolfgang Egydius Gorthardt,unverändert,Silberdiener,,,,,,,,,,,,,,,,
1214,Silber-Kammer,Q506932,,Q98139,Johann Christian Müller,Johann Christian Müller,unverändert,Reise Silberdiener,,,,,,,,,,,,,,,,
1215,Silber-Kammer,Q506932,,Q261158,Georg Ludwig Schönau,Georg Ludwig Schönau,unverändert,Hofzinngieser,,,,,,,,,,,,,,,,
1216,Silber-Kammer,Q506932,,Q77900,Johann Georg Christian Blödner,Johann Georg Christian Blödner,unverändert,Hofseifensieder,,,,,,,,,,,,,,,,
1217,Silber-Kammer,Q506932,,,Elisabetha Sophia Ried,Elisabetha Sophia Ried,unverändert,Silberscheuerin,,,,,,,,,,,,,,,,
1218,Silber-Kammer,Q506932,,,Johanna Maria Trommer,Anna Dorothea Köhler,unverändert,Silberscheuerin zu Altenburg,,,,,,,,,,,Anna,Dorothea,,,,Köhler
1219,Silber-Kammer,Q506932,,Q507614,Dorothea Sophia Heyn,Dorothea Sophia Heyn,unverändert,Zinnscheuerin zu Altenburg,,,,,,,,,,,,,,,,
1220,Hausvoigtei,Q506936,,Q507198,Johann Gabriel Burghardt,Johann Gabriel Burghardt,unverändert,Hausvoigt,,,,,,,,,,,,,,,,
1221,Hausvoigtei,Q506936,,Q507732,Johann Nicolaus Specht,Johann Nicolaus Specht,unverändert,Hausvoigt zu Friedrichsthal,,,,,,,,,,,,,,,,
1222,Hausvoigtei,Q506936,,Q507603,Heinrich Christoph Lützelberger,Heinrich Christoph Lützelberger,unverändert,Hausvoigt zu Friedrichswerth,,,,,,,,,,,,,,,,
1223,Hausvoigtei,Q506936,,Q507137,Johann Nicolaus Karstedt,Johann Nicolaus Karstedt,unverändert,Hof-Tapetenmahler,,,,,,,,,,,,,,,,
1224,Hausvoigtei,Q506936,,Q507390,Heinrich Teubner,Heinrich Teubner,unverändert,Tapetenschneider,,,,,,,,,,,,,,,,
1225,Hausvoigtei,Q506936,,Q507832,Christian Adolph Scharlot,Christian Adolph Scharlot,unverändert,Hofknecht,,,,,,,,,,,,,,,,
1226,Hausvoigtei,Q506936,,,Johann Hermann Habich,Johann Hermann Habich,unverändert,Hoflehrer,,,,,,,,,,,,,,,,
1227,Bettmeisterei,Q506938,,Q507200,Anna Sophia Coutie,Friderice Sophia Schönheid,unverändert,Bettmeisterin,,,,,,,,,,,,,,,,
1228,Bettmeisterei,Q506938,,Q79690,Maria Katharina Schmidt,Maria Katharina Schmidt,unverändert,Bettmeisterin zu Altenburg,,,,,,,,,,,,,,,,
1229,Bettmeisterei,Q506938,,,Eleonore Dorothee Kiein,Eleonore Dorothee Kiein,unverändert,Substitutin,,,,,,,,,,,,,,,,
1230,Bettmeisterei,Q506938,,Q507634,Susnna Regina Schierschmidt,Susnna Regina Schierschmidt,unverändert,Waschfrau,,,,,,,,,,,,,,,,
1231,Bettmeisterei,Q506938,,,Dorothea Margareta Magdal. Schierschmidt,Dorothea Margareta Magdal. Schierschmidt,unverändert,Substitutin,,,,,,,,,,,,,,,,
1232,Bettmeisterei,Q506938,,,Christine Fridericke Kremling,Christine Fridericke Kremling,unverändert,Bettmeisterin zu Tenneberg,,,,,,,,,,,,,,,,
1233,Bettmeisterei,Q506938,,,Johanna Christiane Späth,Johanna Christiane Späth,unverändert,Waschweib zu Altenburg,,,,,,,,,,,,,,,,
1234,Bettmeisterei,Q506938,,,Maria Erdmutha Rauschner,Maria Erdmutha Rauschner,unverändert,Waschweib zu Altenburg,,,,,,,,,,,,,,,,
1235,Bettmeisterei,Q506938,,,Barbara Göbel,Barbara Göbel,unverändert,Bettmagd,,,,,,,,,,,,,,,,
1236,Bettmeisterei,Q506938,,,Martha Maria Sophia Cramer,Martha Maria Sophia Cramer,unverändert,Bettmagd,,,,,,,,,,,,,,,,
1237,Herzogliche Hofcapelle,Q506927,,Q99161,Georg Benda,Anton Schweitzer,unverändert,Capell-Meister,,,,,,,,,,,,,,,,
1238,Herzogliche Hofcapelle,Q506927,,Q507626,Johann Andreas Schieck,Johann Andreas Schieck,unverändert,Conzertmeister,,,,,,,,,,,,,,,,
1239,Herzogliche Hofcapelle,Q506927,,,Maria Elisabetha Galletti,Maria Elisabetha Galletti,unverändert,Boicalist,,,,,,,,,,,,,,,,
1240,Herzogliche Hofcapelle,Q506927,,Q507554,Anna Friderika Hatasch,Anna Friderika Hatasch,unverändert,Boicalist,,,,,,,,,,,,,,,,
1241,Herzogliche Hofcapelle,Q506927,,,,Sophie Elisabeth Susanne Preißing,unverändert,Boicalist,,,,,,,,,,,,,,,,
1242,Herzogliche Hofcapelle,Q506927,,Q507919,Johann Tielemann Cramer,Johann Tielemann Cramer,unverändert,Boicalist,,,,,,,,,,,,,,,,
1243,Herzogliche Hofcapelle,Q506927,,Q192662,Georg Nicolaus Otto,Georg Nicolaus Otto,unverändert,Boicalist,,,,,,,,,,,,,,,,
1244,Herzogliche Hofcapelle,Q506927,,Q507427,Giov Andrea Galetti di Tofcana,Giov Andrea Galetti di Toscana,unverändert,Boicalist,,,,,,,,,,,,,,,,
1245,Herzogliche Hofcapelle,Q506927,,Q507732,Johann Nicolaus Specht,Johann Nicolaus Specht,unverändert,Violinist,,,,,,,,,,,,,,,,
1246,Herzogliche Hofcapelle,Q506927,,,,Franz Anton Ernst,neu,Violinist,,,,,,,,,,,Franz,Anton,,,,Ernst
1247,Herzogliche Hofcapelle,Q506927,,,Georg Christoph Hempel,Georg Christoph Hempel,unverändert,Violinist,,,,,,,,,,,,,,,,
1248,Herzogliche Hofcapelle,Q506927,,Q507624,Johann Valentin Scherlitz,Johann Valentin Scherlitz,unverändert,Violinist,,,,,,,,,,,,,,,,
1249,Herzogliche Hofcapelle,Q506927,,Q80505,August Kellner,August Kellner,unverändert,Violinist,,,,,,,,,,,,,,,,
1250,Herzogliche Hofcapelle,Q506927,,,Johann Wilhelm Schneegaß,Johann Wilhelm Schneegaß,unverändert,Violinist,,,,,,,,,,,,,,,,
1251,Herzogliche Hofcapelle,Q506927,,,,Friedrich Wilhelm Preißing,unverändert,Violinist,,,,,,,,,,,,,,,,
1252,Herzogliche Hofcapelle,Q506927,,Q507472,Georg Christoph Stubenrauch,Georg Christoph Stubenrauch,unverändert,Flautraberlist,,,,,,,,,,,,,,,,
1253,Herzogliche Hofcapelle,Q506927,,,Caspar Brauner,Caspar Brauner,unverändert,Flautraberlist,,,,,,,,,,,,,,,,
1254,Herzogliche Hofcapelle,Q506927,,Q507573,David Abraham Böhmer,David Abraham Böhmer,unverändert,Fagottist,,,,,,,,,,,,,,,,
1255,Herzogliche Hofcapelle,Q506927,,Q98241,Johann Gottfried Golde,Johann Gottfried Golde,unverändert,Clavecinist,Hof-Organist,,,,,,,,,,,,,,,
1256,Herzogliche Hofcapelle,Q506927,,Q507702,Johann Sebastian Hartwig,Johann Sebastian Hartwig,unverändert,Contraviolonist,,,,,,,,,,,,,,,,
1257,Herzogliche Hofcapelle,Q506927,,Q507485,Heinrich Baltasar Preising,Heinrich Baltasar Preising,unverändert,Violonist,Hautboist,,,,,,,,,,,,,,,
1258,Herzogliche Hofcapelle,Q506927,,,,Johann David Scheidler,unverändert,Violonist,,,,,,,,,,,,,,,,
1259,Herzogliche Hofcapelle,Q506927,,Q507668,Johann Friedrich Hötzel,Johann Friedrich Hötzel,unverändert,Waldhornist,,,,,,,,,,,,,,,,
1260,Herzogliche Hofcapelle,Q506927,,,Johann Georg Götze,Johann Georg Götze,unverändert,Waldhornist,,,,,,,,,,,,,,,,
1261,Herzogliche Hofcapelle,Q506927,,,Johann Paul Götze,Johann Paul Götze,unverändert,Waldhornist,,,,,,,,,,,,,,,,
1262,Herzogliche Hofcapelle,Q506927,,,Ignatius Körber,Ignatius Körber,unverändert,Waldhornist,,,,,,,,,,,,,,,,
1263,Herzogliche Hofcapelle,Q506927,,Q38664,Johann Ludwig Krebs,Johann Ludwig Krebs,unverändert,Hoforganist zu Altenburg,,,,,,,,,,,,,,,,
1264,Herzogliche Hofcapelle,Q506927,,,Ehrenfried Traugott Krebs,Ehrenfried Traugott Krebs,unverändert,Substitt,,,,,,,,,,,,,,,,
1265,Herzogliche Hofcapelle,Q506927,,Q507379,Johann Daniel Flittner,Johann Daniel Flittner,unverändert,Hof-Cantor zu Gotha,,,,,,,,,,,,,,,,
1266,Herzogliche Hofcapelle,Q506927,,Q97385,Johann Christian Hofmann,Johann Christian Hofmann,unverändert,Hof -Orgelmacher,,,,,,,,,,,,,,,,
1267,Herzogliche Hofcapelle,Q506927,,,Christian Gottlob Donati,Christian Gottlob Donati,unverändert,Hof -Orgelbauer zu Altenburg,,,,,,,,,,,,,,,,
1268,Herzogliche Hofcapelle,Q506927,,,Carl Gottlob Winter,Carl Gottlob Winter,unverändert,Hof-Calcant zu Altenburg,,,,,,,,,,,,,,,,
1269,Herzogliche Hofcapelle,Q506927,,Q507877,Georg Reinhard Dinter,Georg Reinhard Dinter,unverändert,Hof-Calcant zu Gotha,,,,,,,,,,,,,,,,
1270,Hof Theater,,,Q914,Heinrich August Ottocar Reichard,Heinrich August Ottocar Reichard,unverändert,Bibliothekar,,,,,,,,,,,,,,,,
1271,Hof Theater,,,,,Johann Michael Böck,unverändert,,,,,,,,,,,,,,,,,
1272,Hof Theater,,,Q378159,Anton Schweizer,Anton Schweizer,unverändert,Kapellmeister,,,,,,,,,,,,,,,,
1273,Hof Theater,,,,Maria Magdalena Pörtsch,Maria Magdalena Pörtsch,unverändert,Garderobe Aufsicht,,,,,,,,,,,,,,,,
1274,Hof Theater,,,,Joohann Wilhelm Backhaus,Joohann Wilhelm Backhaus,unverändert,Schauspieler,,,,,,,,,,,,,,,,
1275,Hof Theater,,,,Friedrich Christian Beck,Friedrich Christian Beck,unverändert,Schauspieler,,,,,,,,,,,,,,,,
1276,Hof Theater,,,,Johann David Beil,Johann David Beil,unverändert,Schauspieler,,,,,,,,,,,,,,,,
1277,Hof Theater,,,Q134,Johann Michael Böck,Johann Michael Böck,unverändert,Schauspieler,,,,,,,,,,,,,,,,
1278,Hof Theater,,,Q99166,Johann Christian Frischmuth,Johann Christian Frischmuth,unverändert,Schauspieler,,,,,,,,,,,,,,,,
1279,Hof Theater,,,,Christian Friedrich Hönicke,Christian Friedrich Hönicke,unverändert,Schauspieler,,,,,,,,,,,,,,,,
1280,Hof Theater,,,,August Wilhelm Ifland,August Wilhelm Ifland,unverändert,Schauspieler,,,,,,,,,,,,,,,,
1281,Hof Theater,,,,Georg Ludwig Leo,Georg Ludwig Leo,unverändert,Schauspieler,,,,,,,,,,,,,,,,
1282,Hof Theater,,,Q468198,Wilhelm Christian Dietrich Meyer,Wilhelm Christian Dietrich Meyer,unverändert,Schauspieler,,,,,,,,,,,,,,,,
1283,Hof Theater,,,,Johann Ludwig Rennschüb,Johann Ludwig Rennschüb,unverändert,Schauspieler,,,,,,,,,,,,,,,,
1284,Hof Theater,,,Q468220,Carl Julius Christian Schüler,Carl Julius Christian Schüler,unverändert,Schauspieler,,,,,,,,,,,,,,,,
1285,Hof Theater,,,,Johann Gottfried Striegler,Johann Gottfried Striegler,unverändert,Schauspieler,,,,,,,,,,,,,,,,
1286,Hof Theater,,,Q439859,Sophia Elisabeth Böck,Sophia Elisabeth Böck,unverändert,Schauspielerin,,,,,,,,,,,,,,,,
1287,Hof Theater,,,,Christine Sophie Henriette Hartmann,Christine Sophie Henriette Hartmann,unverändert,Schauspielerin,,,,,,,,,,,,,,,,
1288,Hof Theater,,,,,Philippine Hofmann,neu,Schauspielerin,,,,,,,,,,,,,,,,Hofmann
1289,Hof Theater,,,,,Carolinea Kummerfeld,neu,Schauspielerin,,,,,,,,,,,Philippine,,,,,Kummerfeld
1290,Hof Theater,,,,,Christine Henriette Meyer,neu,Suffleuse,,,,,,,,,,,Carolinea,,,,,Meyer
1291,Hof Theater,,,,Sophie Elisabeth Susanne Preißing,Sophie Elisabeth Susanne Preißing,unverändert,Schauspielerin,,,,,,,,,,,Christine,Henriette,,,,
1292,Hof Theater,,,,,Caroline Albertine Rennschüb,neu,Schauspielerin,,,,,,,,,,,,,,,,Rennschüb
1293,Hof Theater,,,Q468219,Joanna Christina Schüler,Joanna Christina Schüler,unverändert,Schauspielerin,,,,,,,,,,,Caroline,Albertine,,,,
1294,Hof Theater,,,,Henriette Wallenstein,Henriette Wallenstein,unverändert,Schauspielerin,,,,,,,,,,,,,,,,
1295,Hof Theater,,,,,Johann Gabriel Wagner,neu,Theatermeister,,,,,,,,,,,Johann,Gabriel,,,,Wagner
1296,Hof Theater,,,,,Christian Heinrich Ritter,neu,Theatermahler,,,,,,,,,,,Christian,Heinrich,,,,Ritter
1297,Hof Theater,,,,Johann August Sommer,Johann August Sommer,unverändert,Kassen Aufseher,,,,,,,,,,,,,,,,
1298,Hof Theater,,,Q192907,Johann Friedrich Gewalt,Johann Friedrich Gewalt,unverändert,Bureau-Einnehmer,,,,,,,,,,,,,,,,
1299,Hof Theater,,,,Christina Elisabethe Pörtsch,Christina Elisabethe Pörtsch,unverändert,erste Contre-Marue,,,,,,,,,,,,,,,,
1300,Hof Theater,,,,Johann Sigismund Zolling,Johann Sigismund Zolling,unverändert,Billiet und Zettel-Drucker,,,,,,,,,,,,,,,,
1301,Hof Theater,,,,Johann Jacob Beck,Johann Jacob Beck,unverändert,Theater-Schneider,,,,,,,,,,,,,,,,
1302,Hof Theater,,,,Georg Christian Pillep,Georg Christian Pillep,unverändert,Theater-Friseur,,,,,,,,,,,,,,,,
1303,Hof Theater,,,,Johann Christian Schönau,Johann Christian Schönau,unverändert,Theater-Kutscher,,,,,,,,,,,,,,,,
1304,Hof Theater,,,,Johann Andreas Schleifer,Johann Andreas Schleifer,unverändert,Theater-Gehilfe,,,,,,,,,,,,,,,,
1305,Hof Theater,,,,,Johann Christoph Rödiger,neu,Theater-Gehilfe,,,,,,,,,,,Johann,Christoph,,,,Rödiger
1306,Hof-Hautboisten-Bande,Q506922,,Q507176,Bartholomäus Voß,Bartholomäus Voß,unverändert,,,,,,,,,,,,,,,,,
1307,Hof-Hautboisten-Bande,Q506922,,Q507318,Johann Daniel Walter,Johann Daniel Walter,unverändert,,,,,,,,,,,,,,,,,
1308,Hof-Hautboisten-Bande,Q506922,,Q507862,Johann Georg Ihme,Johann Georg Ihme,unverändert,,,,,,,,,,,,,,,,,
1309,Hof-Hautboisten-Bande,Q506922,,Q507681,Johann Georg Bremser,Johann Georg Bremser,unverändert,,,,,,,,,,,,,,,,,
1310,Hof-Hautboisten-Bande,Q506922,,Q507841,Johann Lorenz Henkel,Johann Lorenz Henkel,unverändert,,,,,,,,,,,,,,,,,
1311,Hof-Hautboisten-Bande,Q506922,,Q507657,Georg Wilhelm Winterberg,Georg Wilhelm Winterberg,unverändert,,,,,,,,,,,,,,,,,
1312,Hof-Hautboisten-Bande,Q506922,,Q507539,Johann Nicolaus Köhler,Johann Nicolaus Köhler,unverändert,,,,,,,,,,,,,,,,,
1313,Bibliotheque,Q506940,,Q507377,Johann Christian Heß,Johann Christian Heß,unverändert,,,,,,,,,,,,,,,,,
1314,Bibliotheque,Q506940,,Q271333,Julius Carl Schläger,Julius Carl Schläger,andere Qualli,Hofrath ,Direktor,,,,vacat,,,,,,,,,,,
1315,Bibliotheque,Q506940,,Q28104,Julius Wilhelm Hamberger,Julius Wilhelm Hamberger,unverändert,Secretar,erster Bibliothecar,,,,,,,,,,,,,,,
1316,Bibliotheque,Q506940,,,Heinrich August Ottocar Reichardt,Heinrich August Ottocar Reichardt,unverändert,zweiter Bibliothecar,,,,,,,,,,,,,,,,
1317,Bibliotheque,Q506940,,Q513315,Paul Emanuel Richter,Paul Emanuel Richter,unverändert,Bücher-Commissar zu Altenburg,,,,,,,,,,,,,,,,
1318,Bibliotheque,Q506940,,Q23611,Carl Wilhelm Ettinger,Carl Wilhelm Ettinger,unverändert,Hof-Agent,,,,,,,,,,,,,,,,
1319,Bibliotheque,Q506940,,Q507347,Johann Georg Schack,Johann Georg Schack,unverändert,Hofbuchbinder,,,,,,,,,,,,,,,,
1320,Bibliotheque,Q506940,,,Carl Heinrich Ludwig Henne,Carl Heinrich Ludwig Henne,unverändert,Bibliothec-Diener,,,,,,,,,,,,,,,,
1321,Münz-Cabinet,Q506941,,Q271333,Julius Carl Schläger,Julius Carl Schläger,unverändert,Hofrath ,Antiquarius,,,,,,,,,,,,,,,
1322,Münz-Cabinet,Q506941,,Q507008,Jaques Auguste Rousseau,Jaques Auguste Rousseau,unverändert,Hofrath ,,,,,,,,,,,,,,,,
1323,Münz-Cabinet,Q506931,,Q507187,Johann Ludwig Tietz,Johann Ludwig Tietz,unverändert,Kunst-Cämmerier,Hof-Mahler,Cabinets-Mahler,,,,,,,,,,,,,,
1324,Raritäten-Cabinet,Q506931,,Q507816,Johann Jonas Michael,Johann Jonas Michael,unverändert,Cabinets-Mahler,,,,,,,,,,,,,,,,
1325,Raritäten-Cabinet,Q506920,,Q507175,Johann Conrad Stahl,Johann Conrad Stahl,unverändert,Obergärtner,,,,,,,,,,,,,,,,
1326,Hofgärtnerei,Q506920,,Q23587,Johann Heinrich Voigt,Johann Heinrich Voigt,unverändert,Hofgärtner zu Altenburg,,,,,,,,,,,,,,,,
1327,Hofgärtnerei,Q506920,,Q507961,Johann Christoph Krüger,Johann Christoph Krüger,unverändert,Hofgärtner zu Molsdorf,,,,,,,,,,,,,,,,
1328,Hofgärtnerei,Q506920,,Q507620,Johann August Eichhoff,Johann August Eichhoff,unverändert,Hofgärtner zu Ichtershausen,,,,,,,,,,,,,,,,
1329,Hofgärtnerei,Q506920,,Q507940,Christian Heinrich Wehmeyer,Christian Heinrich Wehmeyer,unverändert,allhier im großen Garten,,,,,,,,,,,,,,,,
1330,Hofgärtnerei,Q506920,,,,Sebastian  Haberkorn,neu,Gartenknecht,,,,,,,,,,,Sebastian,,,,,Haberkorn
1331,verschiedene andere Herzogliche Hof- und Cammer-Bediente,,,Q507397,Johann Heinrich Freißlich,Johann Heinrich Freißlich,unverändert,Cammerdiener,,,,,,,,,,,,,,,,
1332,verschiedene andere Herzogliche Hof- und Cammer-Bediente,Q506902,,Q513374,Johann Friedrich Müller,Johann Friedrich Müller,unverändert,Cammerdiener,,,,,,,,,,,,,,,,
1333,verschiedene andere Herzogliche Hof- und Cammer-Bediente,Q506902,,Q513288,Johann Jacob Kleinsteuber,Johann Jacob Kleinsteuber,unverändert,Cammerdiener,,,,,,,,,,,,,,,,
1334,verschiedene andere Herzogliche Hof- und Cammer-Bediente,Q506902,,Q507797,Johann Simon Lichtenauer,Johann Simon Lichtenauer,unverändert,Hof-Uhrmacher,,,,,,,,,,,,,,,,
1335,verschiedene andere Herzogliche Hof- und Cammer-Bediente,Q506902,,Q38670,Christian Ernst Specht,Christian Ernst Specht,unverändert,Hofmahler,,,,,,,,,,,,,,,,
1336,verschiedene andere Herzogliche Hof- und Cammer-Bediente,Q506902,,Q507595,Georg Friedrich Hahn,Georg Friedrich Hahn,unverändert,Hofgärtner,,,,,,,,,,,,,,,,
1337,verschiedene andere Herzogliche Hof- und Cammer-Bediente,Q506902,,Q507635,Andreas Austrupp,Andreas Austrupp,unverändert,Hofcommissarius,Hofschneider,Leibschneider,,,,,,,,,,,,,,
1338,verschiedene andere Herzogliche Hof- und Cammer-Bediente,Q506902,,Q507776,Johann Andreas Gerbert,Johann Andreas Gerbert,unverändert,Hof-Jubeltier,,,,,,,,,,,,,,,,
1339,verschiedene andere Herzogliche Hof- und Cammer-Bediente,Q506902,,Q513286,Johann Gottfried Hückmann,Johann Gottfried Hückmann,unverändert,Hofperuquier,,,,,,,,,,,,,,,,
1340,verschiedene andere Herzogliche Hof- und Cammer-Bediente,Q506902,,,Johann Andreas Endert,Johann Andreas Endert,unverändert,Hofschwertfeger,,,,,,,,,,,,,,,,
1341,verschiedene andere Herzogliche Hof- und Cammer-Bediente,Q506902,,Q513406,Carl Welker,Carl Welker,unverändert,Hof-Knopfmacher,,,,,,,,,,,,,,,,
1342,verschiedene andere Herzogliche Hof- und Cammer-Bediente,Q506902,,,Michael Benjamin Oertel,Michael Benjamin Oertel,unverändert,Hofschneider,,,,,,,,,,,,,,,,
1343,verschiedene andere Herzogliche Hof- und Cammer-Bediente,Q506902,,,Eusebius Christian Eberhard Fladung,Eusebius Christian Eberhard Fladung,unverändert,Hofschuster,,,,,,,,,,,,,,,,
1344,Hof-Befreyte,Q506918,,Q507173,Georg Meyer,Georg Meyer,unverändert,Hof-Agent,,,,,,,,,,,,,,,,
1345,Hof-Befreyte,Q506918,,Q507518,Johann Christian Kaupert,Johann Christian Kaupert,unverändert,Hof-Agent,,,,,,,,,,,,,,,,
1346,Hof-Befreyte,Q506918,,Q507913,Johann Friedrich Schlippe,Johann Friedrich Schlippe,unverändert,Hof-Agent,,,,,,,,,,,,,,,,
1347,Hof-Befreyte,Q506918,,Q507481,Johann Siegmund Voigt,Johann Siegmund Voigt,unverändert,Hof-Agent,,,,,,,,,,,,,,,,
1348,Hof-Befreyte,Q506918,,Q507901,Johann Andreas Ricolai,Johann Andreas Ricolai,unverändert,Hof-Agent,,,,,,,,,,,,,,,,
1349,Hof-Befreyte,Q506918,,Q507496,Johann Gottlieb Möller,Johann Gottlieb Möller,unverändert,Hof-Agent,,,,,,,,,,,,,,,,
1350,Hof-Befreyte,Q506918,,Q507885,Gottlieb Seide,Gottlieb Seide,unverändert,Hof-Agent,,,,,,,,,,,,,,,,
1351,Hof-Befreyte,Q506918,,Q507477,Carl Franz Heimburg,Carl Franz Heimburg,unverändert,Hof-Agent,,,,,,,,,,,,,,,,
1352,Hof-Befreyte,Q506918,,,Johann Bernard Reitznadel,Johann Bernard Reitznadel,unverändert,Hof-Agent,,,,,,,,,,,,,,,,
